Date,Open,High,Low,Close,Volume
2024-10-17,2674.12,2696.52,2673.39,2693.55,3474
2024-10-18,2693.49,2722.41,2692.9,2720.53,3208
2024-10-20,2720.69,2724.86,2720.4,2723.41,223
2024-10-21,2723.6,2740.46,2713.4,2721.26,3527
2024-10-22,2721.44,2748.69,2720.56,2746.56,3495
2024-10-23,2746.74,2758.2,2708.6,2721.31,3482
2024-10-24,2720.11,2743.21,2717.97,2733.69,3256
2024-10-25,2732.6,2747.13,2717.14,2747.13,3226
2024-10-27,2747.13,2748.21,2730.3,2735.85,221
2024-10-28,2735.22,2745.48,2724.51,2744.29,3537
2024-10-29,2743.95,2775.05,2743.19,2774.7,3563
2024-10-30,2774.81,2789.77,2770.96,2785.14,3574
2024-10-31,2785.47,2789.92,2731.97,2746.27,3561
2024-11-01,2746.81,2761.49,2733.2,2735.91,3231
2024-11-03,2746.7,2746.7,2730.91,2738.2,131
2024-11-04,2738.69,2745.91,2732.15,2736.34,3270
2024-11-05,2733.51,2749.7,2724.93,2745.46,3190
2024-11-06,2745.08,2749.31,2652.51,2663.87,3523
2024-11-07,2663.12,2709.54,2646.56,2706.83,3530
2024-11-08,2706.99,2709.92,2680.47,2683.85,3396
2024-11-10,2683.81,2685.47,2681.2,2685.47,135
2024-11-11,2684.96,2685.59,2610.67,2623.69,3561
2024-11-12,2623.79,2626.7,2589.83,2598.8,3542
2024-11-13,2598.51,2617.87,2569.19,2571.44,3567
2024-11-14,2570.9,2577.3,2537.56,2566.49,3539
2024-11-15,2566.42,2575.51,2554.96,2561.27,3396
2024-11-17,2562.95,2575.27,2562.95,2571.2,139
2024-11-18,2569.8,2614.78,2569.8,2612.09,3550
2024-11-19,2612.62,2639.23,2610.3,2634.71,3566
2024-11-20,2634.83,2655.06,2619.82,2652.02,3561
2024-11-21,2652.2,2673.31,2650.7,2668.68,3558
2024-11-22,2668.8,2715.82,2668.8,2715.58,3373
2024-11-25,2670.27,2670.27,2606.86,2610.17,1370
2024-11-26,2611.51,2641.72,2609.48,2632.18,3550
2024-11-27,2632.63,2658.1,2627.2,2636.89,3561
2024-11-28,2637.14,2649.16,2621.09,2638.78,3190
2024-11-29,2638.66,2666.03,2634.43,2650.25,3054
2024-12-01,2650.24,2650.24,2642.4,2645.92,138
2024-12-02,2646.13,2651.41,2621.99,2641.84,3565
2024-12-03,2642.25,2654.97,2634.64,2642.62,3576
2024-12-04,2642.87,2656.42,2633.47,2650.18,3574
2024-12-05,2650.0,2655.33,2623.57,2633.62,3579
2024-12-06,2632.9,2645.16,2613.71,2632.14,3401
2024-12-08,2632.14,2647.67,2632.14,2639.2,137
2024-12-09,2639.86,2676.08,2627.2,2660.54,3574
2024-12-10,2660.61,2698.13,2656.9,2695.71,3570
2024-12-11,2695.87,2720.8,2674.06,2719.83,3602
2024-12-12,2719.41,2725.72,2675.24,2680.31,3588
2024-12-13,2679.76,2692.08,2646.15,2647.49,3168
2024-12-15,2648.05,2652.73,2647.7,2651.3,135
2024-12-16,2651.25,2663.99,2643.41,2651.5,3611
2024-12-17,2651.62,2658.43,2632.87,2647.29,3574
2024-12-18,2647.33,2651.48,2583.08,2588.06,3585
2024-12-19,2588.52,2626.24,2587.01,2593.57,3566
2024-12-20,2593.48,2630.93,2589.2,2622.0,3419
2024-12-22,2622.0,2624.29,2620.9,2623.84,137
2024-12-23,2623.28,2632.98,2608.31,2615.26,3612
2024-12-24,2615.08,2621.19,2609.9,2616.1,2951
2024-12-25,2614.31,2619.96,2613.27,2617.86,161
2024-12-26,2618.02,2638.83,2617.7,2632.5,3625
2024-12-27,2632.36,2637.81,2611.3,2620.84,3445
2024-12-29,2621.18,2625.71,2619.25,2623.83,135
2024-12-30,2623.8,2627.92,2596.2,2606.51,3611
2024-12-31,2606.45,2627.22,2603.06,2624.19,2851
2025-01-01,2624.8,2625.01,2620.7,2623.68,163
2025-01-02,2623.52,2660.21,2622.0,2658.11,3582
2025-01-03,2658.56,2664.8,2636.1,2639.82,3418
2025-01-05,2639.82,2642.25,2638.85,2640.67,139
2025-01-06,2640.65,2648.9,2614.66,2634.43,3585
2025-01-07,2633.6,2663.97,2632.1,2649.46,3567
2025-01-08,2648.3,2669.76,2644.4,2662.54,3595
2025-01-09,2662.59,2677.85,2655.64,2669.95,3593
2025-01-10,2670.08,2697.39,2663.8,2688.77,3418
2025-01-12,2688.77,2690.64,2686.31,2690.64,136
2025-01-13,2690.06,2693.12,2656.88,2667.83,3594
2025-01-14,2670.89,2677.88,2659.4,2674.72,3401
2025-01-15,2675.52,2696.96,2669.2,2694.62,3586
2025-01-16,2694.87,2724.4,2690.0,2714.52,3591
2025-01-17,2714.49,2717.2,2698.69,2701.88,3429
